iter,err_k,err_x
1,3.89640115e-01,8.33852561e-17
2,2.26006245e-01,8.10792259e-17
3,1.32671817e-01,7.97032361e-17
4,7.59520815e-02,7.59467792e-17
5,4.62647024e-02,8.29577583e-17
6,3.35582914e-02,7.85046229e-17
7,2.69637455e-02,8.07374270e-17
8,2.25748475e-02,7.81515647e-17
9,1.93933633e-02,7.95047221e-17
10,1.69807429e-02,8.17585371e-17
11,1.50918346e-02,7.83030703e-17
12,1.35753180e-02,8.09329174e-17
13,1.23324553e-02,8.09817163e-17
14,1.12961156e-02,8.20960849e-17
15,1.04192520e-02,8.11279368e-17
16,9.66798386e-03,8.19515918e-17
17,9.01724332e-03,8.17585371e-17
18,8.44815225e-03,7.78476689e-17
19,7.94625527e-03,7.73895878e-17
20,7.50030921e-03,8.05904980e-17
21,7.10144455e-03,8.00494510e-17
22,6.74257397e-03,7.89562352e-17
23,6.41796742e-03,8.00494510e-17
24,6.12294196e-03,8.53982126e-17
25,5.85363258e-03,8.06395041e-17
26,5.60682054e-03,8.16134464e-17
27,5.37980347e-03,8.16134464e-17
28,5.17029564e-03,7.83535071e-17
29,4.97635072e-03,8.19033708e-17
30,4.79630102e-03,8.43274922e-17
31,4.62870930e-03,8.40929230e-17
32,4.47233002e-03,7.89061837e-17
33,4.32607829e-03,8.30529480e-17
34,4.18900463e-03,8.44679211e-17
35,4.06027451e-03,8.43274922e-17
36,3.93915146e-03,8.46547973e-17
37,3.82498310e-03,8.53519389e-17
38,3.71718948e-03,8.41398891e-17
39,3.61525332e-03,8.23363432e-17
40,3.51871173e-03,7.99012569e-17
41,3.42714930e-03,8.26237309e-17
42,3.34019213e-03,7.93555108e-17
43,3.25750278e-03,8.15650255e-17
44,3.17877593e-03,8.08352313e-17
45,3.10373467e-03,8.26715317e-17
46,3.03212723e-03,8.17102022e-17
47,2.96372423e-03,7.86052055e-17
48,2.89831622e-03,8.05904980e-17
49,2.83571159e-03,7.95543971e-17
50,2.77573470e-03,8.00987881e-17
51,2.71822422e-03,8.22883476e-17
52,2.66303176e-03,7.90562432e-17
53,2.61002055e-03,8.35745531e-17
54,2.55906437e-03,8.18068435e-17
55,2.51004650e-03,8.59515546e-17
56,2.46285891e-03,7.94052791e-17
57,2.41740139e-03,7.76952753e-17
58,2.37358092e-03,8.35272691e-17
59,2.33131102e-03,8.39047954e-17
60,2.29051116e-03,7.77461064e-17
61,2.25110629e-03,7.88059854e-17
62,2.21302637e-03,8.53982126e-17
63,2.17620596e-03,8.10792259e-17
64,2.14058383e-03,8.25759024e-17
65,2.10610267e-03,7.94550162e-17
66,2.07270875e-03,7.86052055e-17
67,2.04035164e-03,8.02466174e-17
68,2.00898400e-03,8.15165758e-17
69,1.97856129e-03,7.85046229e-17
70,1.94904162e-03,8.21441927e-17
71,1.92038552e-03,7.98517977e-17
72,1.89255579e-03,7.68774075e-17
73,1.86551733e-03,8.62268940e-17
74,1.83923699e-03,8.46081170e-17
75,1.81368345e-03,8.14195900e-17
76,1.78882707e-03,8.38576975e-17
77,1.76463981e-03,7.91061997e-17
78,1.74109512e-03,7.86554485e-17
79,1.71816781e-03,7.88561005e-17
80,1.69583399e-03,8.03450192e-17
81,1.67407101e-03,8.58135536e-17
82,1.65285732e-03,7.90562432e-17
83,1.63217246e-03,8.40459306e-17
84,1.61199697e-03,8.21922725e-17
85,1.59231232e-03,8.50273175e-17
86,1.57310087e-03,7.71851235e-17
87,1.55434583e-03,8.18068435e-17
88,1.53603117e-03,8.18551214e-17
89,1.51814161e-03,8.10792259e-17
90,1.50066257e-03,7.87558384e-17
91,1.48358012e-03,8.45146789e-17
92,1.46688096e-03,8.37162450e-17
93,1.45055237e-03,8.37634224e-17
94,1.43458220e-03,7.52149969e-17
95,1.41895879e-03,8.11279368e-17
96,1.40367102e-03,7.95543971e-17
97,1.38870822e-03,8.29577583e-17
98,1.37406016e-03,8.56292063e-17
99,1.35971705e-03,8.21922725e-17
100,1.34566949e-03,8.01973713e-17
101,1.33190847e-03,7.90062550e-17
102,1.31842532e-03,7.90062550e-17
103,1.30521175e-03,8.09817163e-17
104,1.29225977e-03,7.74406195e-17
105,1.27956171e-03,8.10304858e-17
106,1.26711020e-03,8.14680973e-17
107,1.25489815e-03,8.28624593e-17
108,1.24291872e-03,8.35745531e-17
109,1.23116537e-03,7.88561005e-17
110,1.21963176e-03,8.29577583e-17
111,1.20831180e-03,8.03450192e-17
112,1.19719963e-03,7.82526010e-17
113,1.18628960e-03,8.25280462e-17
114,1.17557625e-03,8.19033708e-17
115,1.16505433e-03,8.38576975e-17
116,1.15471876e-03,8.31955283e-17
117,1.14456465e-03,8.70930595e-17
118,1.13458728e-03,8.19515918e-17
119,1.12478207e-03,8.31005019e-17
120,1.11514463e-03,8.26237309e-17
121,1.10567070e-03,7.78984006e-17
122,1.09635616e-03,8.06884804e-17
123,1.08719702e-03,8.41868291e-17
124,1.07818945e-03,7.80503976e-17
125,1.06932972e-03,7.76444110e-17
126,1.06061423e-03,8.05904980e-17
127,1.05203949e-03,8.03450192e-17
128,1.04360212e-03,8.08840891e-17
129,1.03529887e-03,7.65684549e-17
130,1.02712657e-03,8.33852561e-17
131,1.01908214e-03,8.29577583e-17
132,1.01116262e-03,8.00987881e-17
133,1.00336512e-03,7.68774075e-17
134,9.95686864e-04,8.32904462e-17
135,9.88125130e-04,8.08840891e-17
136,9.80677293e-04,8.16618386e-17
137,9.73340806e-04,8.31480287e-17
138,9.66113195e-04,8.12738942e-17
139,9.58992060e-04,8.50273175e-17
