iter,err_k,err_x
1,5.07910261e-01,8.04433006e-17
2,4.40319128e-01,7.78476689e-17
3,4.05589032e-01,7.57384200e-17
4,3.84267343e-01,8.03941749e-17
5,3.69063293e-01,7.76444110e-17
6,3.57834050e-01,8.23843107e-17
7,3.48883006e-01,8.02466174e-17
8,3.41861988e-01,7.88561005e-17
9,3.36431103e-01,7.55817737e-17
10,3.31952526e-01,7.94052791e-17
11,3.27995936e-01,8.13710537e-17
12,3.24519944e-01,7.56862406e-17
13,3.21382936e-01,7.86554485e-17
14,3.18378788e-01,7.98023079e-17
15,3.15490755e-01,7.94550162e-17
16,3.12837394e-01,7.72874233e-17
17,3.10456447e-01,8.04433006e-17
18,3.08401032e-01,7.94550162e-17
19,3.06623625e-01,8.00987881e-17
20,3.04970359e-01,7.86554485e-17
21,3.03312981e-01,7.74916176e-17
22,3.01849061e-01,7.79490992e-17
23,3.00439912e-01,8.19997844e-17
24,2.99039714e-01,7.86052055e-17
25,2.97651625e-01,7.94550162e-17
26,2.96293388e-01,7.98517977e-17
27,2.95025869e-01,7.77969042e-17
28,2.93866568e-01,7.76444110e-17
29,2.92794372e-01,8.04923963e-17
30,2.91813999e-01,7.84039114e-17
31,2.90867629e-01,8.15650255e-17
32,2.89953480e-01,7.82526010e-17
33,2.89076567e-01,8.18068435e-17
34,2.88225062e-01,8.02466174e-17
35,2.87397555e-01,7.65168415e-17
36,2.86607760e-01,7.67745615e-17
37,2.85839109e-01,7.73895878e-17
38,2.85090710e-01,7.77969042e-17
39,2.84354142e-01,7.76952753e-17
40,2.83634019e-01,7.75935133e-17
41,2.82940090e-01,8.02958334e-17
42,2.82248003e-01,8.16134464e-17
43,2.81578363e-01,7.79997648e-17
44,2.80971994e-01,7.74916176e-17
45,2.80429066e-01,7.78476689e-17
46,2.79936051e-01,7.91061997e-17
47,2.79482574e-01,7.88059854e-17
48,2.79053677e-01,7.77969042e-17
49,2.78650280e-01,7.69287790e-17
50,2.78266151e-01,7.97032361e-17
51,2.77894503e-01,7.96536540e-17
52,2.77544553e-01,7.92060183e-17
53,2.77206091e-01,8.05904980e-17
54,2.76876173e-01,7.69801162e-17
55,2.76542265e-01,7.94052791e-17
56,2.76192329e-01,8.05904980e-17
57,2.75823103e-01,7.30297505e-17
58,2.75436619e-01,7.56340252e-17
59,2.75044607e-01,7.77969042e-17
60,2.74652199e-01,7.89061837e-17
61,2.74246498e-01,8.03450192e-17
62,2.73831349e-01,7.46349917e-17
63,2.73408191e-01,8.17102022e-17
64,2.72999543e-01,7.48991872e-17
65,2.72608430e-01,7.53724055e-17
66,2.72239365e-01,7.80503976e-17
67,2.71893867e-01,7.95543971e-17
68,2.71567609e-01,7.86554485e-17
69,2.71255527e-01,7.96040410e-17
70,2.70946107e-01,7.70314192e-17
71,2.70629265e-01,7.91561248e-17
72,2.70291840e-01,7.62582505e-17
73,2.69926808e-01,8.01480948e-17
74,2.69550314e-01,7.68774075e-17
75,2.69184659e-01,7.90062550e-17
76,2.68833606e-01,7.52149969e-17
77,2.68489397e-01,7.82526010e-17
78,2.68133401e-01,7.96536540e-17
79,2.67755936e-01,8.00000835e-17
80,2.67356131e-01,7.88561005e-17
81,2.66933513e-01,7.94052791e-17
82,2.66483953e-01,7.53724055e-17
83,2.66017300e-01,7.58947430e-17
84,2.65558621e-01,8.10304858e-17
85,2.65132961e-01,8.01973713e-17
86,2.64748448e-01,8.11279368e-17
87,2.64382657e-01,7.34612447e-17
88,2.64045076e-01,7.64651933e-17
89,2.63735813e-01,7.47407820e-17
90,2.63412352e-01,7.66715774e-17
91,2.63105429e-01,7.76952753e-17
92,2.62826269e-01,7.80503976e-17
93,2.62570945e-01,8.12738942e-17
94,2.62331563e-01,7.61545683e-17
95,2.62098064e-01,7.74916176e-17
96,2.61862639e-01,8.13710537e-17
97,2.61623153e-01,7.70314192e-17
98,2.61377270e-01,8.14680973e-17
99,2.61132398e-01,8.19515918e-17
100,2.60887924e-01,7.58426712e-17
101,2.60640839e-01,7.72874233e-17
102,2.60391665e-01,7.69801162e-17
103,2.60153410e-01,7.71339228e-17
104,2.59928368e-01,7.86554485e-17
105,2.59707214e-01,7.95543971e-17
106,2.59482446e-01,7.88059854e-17
107,2.59256351e-01,7.93555108e-17
108,2.59029594e-01,7.96536540e-17
109,2.58795297e-01,7.74916176e-17
110,2.58551122e-01,7.86052055e-17
111,2.58293299e-01,7.77969042e-17
112,2.58026263e-01,7.93057113e-17
113,2.57766710e-01,7.71851235e-17
114,2.57521998e-01,7.59467792e-17
115,2.57275914e-01,7.87056594e-17
116,2.57023711e-01,7.71339228e-17
117,2.56774271e-01,7.54771622e-17
118,2.56531414e-01,7.82020992e-17
119,2.56296270e-01,7.69801162e-17
120,2.56068458e-01,7.95543971e-17
121,2.55846685e-01,7.83030703e-17
122,2.55627776e-01,7.66715774e-17
123,2.55399795e-01,7.90062550e-17
124,2.55172211e-01,7.69801162e-17
125,2.54949624e-01,7.65684549e-17
126,2.54737667e-01,7.72362903e-17
127,2.54535906e-01,7.60507447e-17
128,2.54340944e-01,7.83030703e-17
129,2.54156346e-01,7.52675030e-17
130,2.53986217e-01,7.88059854e-17
131,2.53827747e-01,7.89061837e-17
132,2.53673364e-01,7.86052055e-17
133,2.53525185e-01,8.02958334e-17
134,2.53385118e-01,7.52149969e-17
135,2.53249556e-01,7.95543971e-17
136,2.53118203e-01,7.76952753e-17
137,2.52990584e-01,7.85549303e-17
138,2.52865625e-01,7.69801162e-17
139,2.52745259e-01,7.81009975e-17
140,2.52630526e-01,7.58426712e-17
141,2.52521725e-01,7.97527874e-17
142,2.52418399e-01,7.86052055e-17
143,2.52319587e-01,7.75425822e-17
144,2.52225456e-01,7.59987797e-17
145,2.52131851e-01,7.67745615e-17
146,2.52037788e-01,7.87056594e-17
147,2.51949142e-01,7.64651933e-17
148,2.51868020e-01,8.00987881e-17
149,2.51793058e-01,7.64135101e-17
150,2.51723192e-01,7.74406195e-17
151,2.51658012e-01,7.72362903e-17
152,2.51597141e-01,7.69801162e-17
153,2.51539943e-01,7.49519146e-17
154,2.51485869e-01,7.93057113e-17
155,2.51434437e-01,8.03941749e-17
156,2.51384555e-01,8.09817163e-17
157,2.51335391e-01,7.53724055e-17
158,2.51287352e-01,7.79997648e-17
159,2.51241426e-01,7.86052055e-17
160,2.51198256e-01,7.75425822e-17
161,2.51158297e-01,7.76952753e-17
162,2.51121462e-01,7.80503976e-17
